id,number,state,title,created_at,updated_at,closed_at,merged_at,merge_commit_sha,assignees,requested_reviewers,requested_teams,author_association,user.login
2468844333,4,closed,feat: change source to earth search,2025-04-18 18:53:39+00:00,2025-04-18 18:57:30+00:00,2025-04-18 18:57:30+00:00,2025-04-18 18:57:30+00:00,b72b6fc0b542c2f80c540b1fb19b6e068cc4c634,[],[],[],MEMBER,KBodolai
2393278147,1,closed,Add false color compositing functionality,2025-03-14 10:13:54+00:00,2025-03-27 14:35:18+00:00,2025-03-27 14:35:18+00:00,2025-03-27 14:35:18+00:00,8c2c122baf12c86e8e01885cd5df766425ab946f,[],"[{'login': 'rob-webster-space-intelligence', 'id': 147394039, 'node_id': 'U_kgDOCMkN9w', 'avatar_url': 'https://avatars.githubusercontent.com/u/147394039?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rob-webster-space-intelligence', 'html_url': 'https://github.com/rob-webster-space-intelligence', 'followers_url': 'https://api.github.com/users/rob-webster-space-intelligence/followers', 'following_url': 'https://api.github.com/users/rob-webster-space-intelligence/following{/other_user}', 'gists_url': 'https://api.github.com/users/rob-webster-space-intelligence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rob-webster-space-intelligence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rob-webster-space-intelligence/subscriptions', 'organizations_url': 'https://api.github.com/users/rob-webster-space-intelligence/orgs', 'repos_url': 'https://api.github.com/users/rob-webster-space-intelligence/repos', 'events_url': 'https://api.github.com/users/rob-webster-space-intelligence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rob-webster-space-intelligence/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],MEMBER,KBodolai
2848319707,19,closed,"fix: restore ability to add by ""folder""",2025-09-22 07:58:18+00:00,2025-09-22 08:10:27+00:00,2025-09-22 08:10:23+00:00,2025-09-22 08:10:23+00:00,648ecd43ae97f13fdca9306cd521a4d5eb181e7b,[],[],[],MEMBER,WillBriggs-SI
2763585314,16,closed,Qgis4,2025-08-21 16:24:16+00:00,2025-08-21 16:24:52+00:00,2025-08-21 16:24:52+00:00,2025-08-21 16:24:52+00:00,f09f849ef8aff5242172120cf3ca70ff2d6de4f3,[],[],[],MEMBER,rob-webster-space-intelligence
2755535738,13,closed,refactor: tab order,2025-08-19 07:49:30+00:00,2025-08-20 14:13:50+00:00,2025-08-20 14:13:50+00:00,2025-08-20 14:13:50+00:00,2928d4164905bad698bad47383d802919b1a5d87,[],[],[],MEMBER,WillBriggs-SI
2703153763,12,closed,fix: create group in parent group instead of using existing group elswhere,2025-07-29 07:53:20+00:00,2025-07-29 08:00:28+00:00,2025-07-29 08:00:28+00:00,2025-07-29 08:00:28+00:00,4917139aa437e5d0bc9b73b16bc2f2b22dd1a942,[],[],[],MEMBER,WillBriggs-SI
2700132500,11,closed,feat: cog counts displayed in tree,2025-07-28 10:12:18+00:00,2025-07-28 12:33:55+00:00,2025-07-28 12:33:54+00:00,2025-07-28 12:33:54+00:00,f011e21c4eca05227041c86dba30419939d82499,[],[],[],MEMBER,WillBriggs-SI
2638654441,10,closed,feat: exclude s3 cogs from reloading,2025-07-03 13:59:50+00:00,2025-07-03 15:15:13+00:00,2025-07-03 15:15:08+00:00,2025-07-03 15:15:08+00:00,7bbddaa3b299996ba9c7ca8ba9f84bdb4764a8ff,[],[],[],MEMBER,WillBriggs-SI
2601292272,8,closed,feat: must include can be list,2025-06-18 10:36:01+00:00,2025-06-19 07:36:22+00:00,2025-06-19 07:36:17+00:00,2025-06-19 07:36:17+00:00,9e3000b1ce45c3464552bbef4c9b2b992ce2bde9,[],[],[],MEMBER,WillBriggs-SI
2382130569,2,closed,update to avoid using sas tokens,2025-03-10 12:26:09+00:00,2025-03-10 12:26:27+00:00,2025-03-10 12:26:23+00:00,2025-03-10 12:26:23+00:00,fd176d4b1e68297b77fa01401a086b362edc9c85,"[{'login': 'rob-webster-space-intelligence', 'id': 147394039, 'node_id': 'U_kgDOCMkN9w', 'avatar_url': 'https://avatars.githubusercontent.com/u/147394039?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rob-webster-space-intelligence', 'html_url': 'https://github.com/rob-webster-space-intelligence', 'followers_url': 'https://api.github.com/users/rob-webster-space-intelligence/followers', 'following_url': 'https://api.github.com/users/rob-webster-space-intelligence/following{/other_user}', 'gists_url': 'https://api.github.com/users/rob-webster-space-intelligence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rob-webster-space-intelligence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rob-webster-space-intelligence/subscriptions', 'organizations_url': 'https://api.github.com/users/rob-webster-space-intelligence/orgs', 'repos_url': 'https://api.github.com/users/rob-webster-space-intelligence/repos', 'events_url': 'https://api.github.com/users/rob-webster-space-intelligence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rob-webster-space-intelligence/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],[],MEMBER,rob-webster-space-intelligence
2775566551,1,closed,feat: ensure QGIS4 compatibility,2025-08-26 15:22:36+00:00,2025-08-26 15:22:53+00:00,2025-08-26 15:22:49+00:00,2025-08-26 15:22:49+00:00,2b0c287a68c701a7b589cfb987002b4ec52d3c76,[],[],[],MEMBER,rob-webster-space-intelligence
2763583835,1,closed,fix: update to work with qgis4,2025-08-21 16:23:38+00:00,2025-08-26 13:22:43+00:00,2025-08-21 16:23:45+00:00,2025-08-21 16:23:45+00:00,113f369db1e8888e8c168fa4a0fcc7a8957fa77e,[],[],[],MEMBER,rob-webster-space-intelligence
2775117237,6,closed,feat: make work in QGIS4,2025-08-26 13:16:53+00:00,2025-08-26 13:17:23+00:00,2025-08-26 13:17:01+00:00,2025-08-26 13:17:01+00:00,8c9579d228d15a6a062437d379f9c99d4619a4a1,"[{'login': 'rob-webster-space-intelligence', 'id': 147394039, 'node_id': 'U_kgDOCMkN9w', 'avatar_url': 'https://avatars.githubusercontent.com/u/147394039?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rob-webster-space-intelligence', 'html_url': 'https://github.com/rob-webster-space-intelligence', 'followers_url': 'https://api.github.com/users/rob-webster-space-intelligence/followers', 'following_url': 'https://api.github.com/users/rob-webster-space-intelligence/following{/other_user}', 'gists_url': 'https://api.github.com/users/rob-webster-space-intelligence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rob-webster-space-intelligence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rob-webster-space-intelligence/subscriptions', 'organizations_url': 'https://api.github.com/users/rob-webster-space-intelligence/orgs', 'repos_url': 'https://api.github.com/users/rob-webster-space-intelligence/repos', 'events_url': 'https://api.github.com/users/rob-webster-space-intelligence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rob-webster-space-intelligence/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],[],MEMBER,rob-webster-space-intelligence
2745621178,5,closed,feat: return to bbox,2025-08-14 09:54:22+00:00,2025-08-14 10:29:50+00:00,2025-08-14 10:29:40+00:00,2025-08-14 10:29:40+00:00,84a5a674c577d3e3942c8ca7c502171731e1d893,[],[],[],MEMBER,WillBriggs-SI
2646658053,3,closed,feat: option for slice as dict,2025-07-07 12:40:08+00:00,2025-07-09 08:26:22+00:00,2025-07-09 08:26:11+00:00,2025-07-09 08:26:11+00:00,82ae0d1e0415071365386a54253f0ecad3a633ab,[],[],[],MEMBER,WillBriggs-SI
2393317232,1,closed,Add support for geographic CRS,2025-03-14 10:35:52+00:00,2025-06-12 07:42:31+00:00,2025-03-18 10:30:40+00:00,2025-03-18 10:30:40+00:00,07687c4f03c883db4ba63026132de15021c0c608,[],[],[],MEMBER,KBodolai
